排名	ID	赞助金额（元）
1	陆沉	1518.06
2	乡村牛公子	976
3	柯林斯.民间新秀	666


赞助历史
时间	ID	赞助金额（元）
2025/06/26	陆沉	66.66
2025/06/26	雁过留痕	50
2025/06/26	Limerence	50
2025/06/26	fenglisec	50
2025/06/26	Naturehi	8.8
2025/06/24	陆沉	88.88
2025/06/17	DM_TomHE	50
2025/06/12	陆沉	6.66
2025/06/12	admin	10
2025/06/12	今天应该吃什么	18.88
2025/06/10	洺熙	5.2
2025/05/26	乡村牛公子	888
2025/05/25	陆沉	88.88
2025/05/22	乡村牛公子	88
2025/05/22	吾乃一俗人	100
2025/04/09	摘星怪	50
2025/04/02	饿美了	52
2025/04/02	匿名捐赠	19.9
2025/03/27	Battleman	50
2025/03/22	顾顾	50
2025/03/19	hello-ctf 探姬	50
2025/03/19	Rebel.	50
2025/03/19	明察涉网犯罪技术侦察实验室	188
2025/03/18	冰淇霖	9.9
2025/03/18	无染	100
2025/03/18	白神	50
2025/03/18	小祝	50
2025/03/11	时光难逆	50
2025/03/05	神明	100
2025/03/05	Celvin	66
2025/03/04	jiwa	100
2025/03/03	modeng	88.88
2025/03/03	qianzai	99
2025/03/03	🐔	55
2025/03/03	北	100
2025/01/26	青烟	50
2025/01/21	xccc	98
2025/01/19	起凡安全	66
2025/01/19	玄道	50
2025/01/19	棉花糖	68
2025/01/19	Lzer0Kx01	52
2025/01/19	柯林斯.民间新秀	666
2024/12/12	Ark111	8
2024/11/28	桃李	8.8
2024/11/21	沃野随心	15
2024/11/13	Gavin	66
2024/10/23	北	50
2024/10/21	悠然	50
2024/10/18	echoHaha	10
2024/10/16	陆沉	66.66
2024/10/13	taffy	50
2024/10/12	taffy	50
2024/09/22	陆沉	88.88
2024/09/18	eXM	50
2024/09/11	无界	30
2024/09/09	Dm_TomHe	50
2024/09/01	陆沉	66.66
2024/08/26	taffy	50
2024/08/24	三问	8.88
2024/08/10	呱呱	9.9
2024/08/08	清醒的沉沦	10
2024/08/01	13	10
2024/07/28	柯林斯.民间新秀	10
2024/07/17	陆沉	66.66
2024/07/10	R4teL_M	20
2024/06/22	几故	20
2024/06/06	%	28.88
2024/06/03	%	38.88
2024/05/31	cnmskr321	20
2024/05/30	柯林斯.民间新秀	20
2024/05/20	EasyLove	15
2024/05/15	陆沉	977.76
2024/03/31	北	20
2024/03/17	啊对对对	50
2024/03/11	今天应该吃什么	18
